trip_id,realtime_trip_id
6511414-CT-17APR-Caltrain-Sunday-01,53u
6511415-CT-17APR-Caltrain-Sunday-01,54u
6511416-CT-17APR-Caltrain-Sunday-01,56u
6511417-CT-17APR-Caltrain-Sunday-01,57u
6511418-CT-17APR-Caltrain-Sunday-01,58u
6511419-CT-17APR-Caltrain-Sunday-01,59u
6511232-CT-17APR-Combo-Weekday-01,196
6511240-CT-17APR-Combo-Weekday-01,190
6511244-CT-17APR-Combo-Weekday-01,102
6511251-CT-17APR-Combo-Weekday-01,104
6511276-CT-17APR-Combo-Weekday-01,221
6511293-CT-17APR-Combo-Weekday-01,217
6511294-CT-17APR-Combo-Weekday-01,227
6511301-CT-17APR-Combo-Weekday-01,371
6511302-CT-17APR-Combo-Weekday-01,381
6511306-CT-17APR-Combo-Weekday-01,309
6511307-CT-17APR-Combo-Weekday-01,319
6511420-CT-17APR-Combo-Weekday-01,101
6511421-CT-17APR-Combo-Weekday-01,135
6511422-CT-17APR-Combo-Weekday-01,139
6511423-CT-17APR-Combo-Weekday-01,143
6511424-CT-17APR-Combo-Weekday-01,147
6511425-CT-17APR-Combo-Weekday-01,151
6511426-CT-17APR-Combo-Weekday-01,155
6511427-CT-17APR-Combo-Weekday-01,191
6511428-CT-17APR-Combo-Weekday-01,193
6511429-CT-17APR-Combo-Weekday-01,199
6511430-CT-17APR-Combo-Weekday-01,150
6511432-CT-17APR-Combo-Weekday-01,152
6511433-CT-17APR-Combo-Weekday-01,134
6511434-CT-17APR-Combo-Weekday-01,138
6511435-CT-17APR-Combo-Weekday-01,142
6511436-CT-17APR-Combo-Weekday-01,146
6511439-CT-17APR-Combo-Weekday-01,198
6511440-CT-17APR-Combo-Weekday-01,156
6511441-CT-17APR-Combo-Weekday-01,192
6511442-CT-17APR-Combo-Weekday-01,194
6511443-CT-17APR-Combo-Weekday-01,206
6511444-CT-17APR-Combo-Weekday-01,208
6511445-CT-17APR-Combo-Weekday-01,218
6511446-CT-17APR-Combo-Weekday-01,263
6511447-CT-17APR-Combo-Weekday-01,273
6511448-CT-17APR-Combo-Weekday-01,283
6511449-CT-17APR-Combo-Weekday-01,216
6511450-CT-17APR-Combo-Weekday-01,226
6511451-CT-17APR-Combo-Weekday-01,267
6511452-CT-17APR-Combo-Weekday-01,277
6511453-CT-17APR-Combo-Weekday-01,261
6511454-CT-17APR-Combo-Weekday-01,269
6511455-CT-17APR-Combo-Weekday-01,279
6511456-CT-17APR-Combo-Weekday-01,236
6511457-CT-17APR-Combo-Weekday-01,254
6511458-CT-17APR-Combo-Weekday-01,258
6511459-CT-17APR-Combo-Weekday-01,233
6511460-CT-17APR-Combo-Weekday-01,237
6511461-CT-17APR-Combo-Weekday-01,257
6511462-CT-17APR-Combo-Weekday-01,282
6511463-CT-17APR-Combo-Weekday-01,215
6511464-CT-17APR-Combo-Weekday-01,225
6511465-CT-17APR-Combo-Weekday-01,231
6511466-CT-17APR-Combo-Weekday-01,264
6511467-CT-17APR-Combo-Weekday-01,284
6511468-CT-17APR-Combo-Weekday-01,274
6511470-CT-17APR-Combo-Weekday-01,278
6511471-CT-17APR-Combo-Weekday-01,288
6511472-CT-17APR-Combo-Weekday-01,289
6511473-CT-17APR-Combo-Weekday-01,228
6511475-CT-17APR-Combo-Weekday-01,268
6511476-CT-17APR-Combo-Weekday-01,207
6511489-CT-17APR-Combo-Weekday-01,159
6511490-CT-17APR-Combo-Weekday-01,323
6511491-CT-17APR-Combo-Weekday-01,313
6511492-CT-17APR-Combo-Weekday-01,360
6511493-CT-17APR-Combo-Weekday-01,380
6511494-CT-17APR-Combo-Weekday-01,370
6511495-CT-17APR-Combo-Weekday-01,329
6511496-CT-17APR-Combo-Weekday-01,365
6511497-CT-17APR-Combo-Weekday-01,375
6511498-CT-17APR-Combo-Weekday-01,385
6511499-CT-17APR-Combo-Weekday-01,305
6511500-CT-17APR-Combo-Weekday-01,324
6511501-CT-17APR-Combo-Weekday-01,314
6511502-CT-17APR-Combo-Weekday-01,103
6511503-CT-17APR-Combo-Weekday-01,197
6511505-CT-17APR-Combo-Weekday-01,386
6511506-CT-17APR-Combo-Weekday-01,222
6511507-CT-17APR-Combo-Weekday-01,232
6511508-CT-17APR-Combo-Weekday-01,262
6511509-CT-17APR-Combo-Weekday-01,272
6511513-CT-17APR-Combo-Weekday-01,366
6511514-CT-17APR-Combo-Weekday-01,376
6511515-CT-17APR-Combo-Weekday-01,211
6511516-CT-17APR-Combo-Weekday-01,330
6511517-CT-17APR-Combo-Weekday-01,320
6511518-CT-17APR-Combo-Weekday-01,310
6511521-CT-17APR-Combo-Weekday-01,195
6511522-CT-17APR-Combo-Weekday-01,287
6511523-CT-17APR-Combo-Weekday-01,212
