trip_id,stop_id
6512496-CT-17OCT-Caltrain-Sunday-01,70071
6512496-CT-17OCT-Caltrain-Sunday-01,70061
6512496-CT-17OCT-Caltrain-Sunday-01,70051
6512496-CT-17OCT-Caltrain-Sunday-01,70041
6512496-CT-17OCT-Caltrain-Sunday-01,70031
6512496-CT-17OCT-Caltrain-Sunday-01,70021
6512496-CT-17OCT-Caltrain-Sunday-01,70011
6512497-CT-17OCT-Caltrain-Sunday-01,70261
6512497-CT-17OCT-Caltrain-Sunday-01,70241
6512497-CT-17OCT-Caltrain-Sunday-01,70231
6512497-CT-17OCT-Caltrain-Sunday-01,70221
6512497-CT-17OCT-Caltrain-Sunday-01,70211
6512497-CT-17OCT-Caltrain-Sunday-01,70201
6512497-CT-17OCT-Caltrain-Sunday-01,70191
6512497-CT-17OCT-Caltrain-Sunday-01,70171
6512497-CT-17OCT-Caltrain-Sunday-01,70161
6512497-CT-17OCT-Caltrain-Sunday-01,70151
6512497-CT-17OCT-Caltrain-Sunday-01,70141
6512497-CT-17OCT-Caltrain-Sunday-01,70131
6512497-CT-17OCT-Caltrain-Sunday-01,70121
6512497-CT-17OCT-Caltrain-Sunday-01,70111
6512497-CT-17OCT-Caltrain-Sunday-01,70101
6512497-CT-17OCT-Caltrain-Sunday-01,70091
6512497-CT-17OCT-Caltrain-Sunday-01,70081
6512497-CT-17OCT-Caltrain-Sunday-01,70071
6512497-CT-17OCT-Caltrain-Sunday-01,70061
6512497-CT-17OCT-Caltrain-Sunday-01,70051
6512497-CT-17OCT-Caltrain-Sunday-01,70041
6512497-CT-17OCT-Caltrain-Sunday-01,70031
6512497-CT-17OCT-Caltrain-Sunday-01,70021
6512497-CT-17OCT-Caltrain-Sunday-01,70011
6512498-CT-17OCT-Caltrain-Sunday-01,70261
6512498-CT-17OCT-Caltrain-Sunday-01,70241
6512498-CT-17OCT-Caltrain-Sunday-01,70231
6512498-CT-17OCT-Caltrain-Sunday-01,70221
6512498-CT-17OCT-Caltrain-Sunday-01,70211
6512498-CT-17OCT-Caltrain-Sunday-01,70201
6512498-CT-17OCT-Caltrain-Sunday-01,70191
6512498-CT-17OCT-Caltrain-Sunday-01,70171
6512498-CT-17OCT-Caltrain-Sunday-01,70161
6512498-CT-17OCT-Caltrain-Sunday-01,70151
6512498-CT-17OCT-Caltrain-Sunday-01,70141
6512498-CT-17OCT-Caltrain-Sunday-01,70131
6512498-CT-17OCT-Caltrain-Sunday-01,70121
6512498-CT-17OCT-Caltrain-Sunday-01,70111
6512498-CT-17OCT-Caltrain-Sunday-01,70101
6512498-CT-17OCT-Caltrain-Sunday-01,70091
6512498-CT-17OCT-Caltrain-Sunday-01,70081
6512498-CT-17OCT-Caltrain-Sunday-01,70071
6512498-CT-17OCT-Caltrain-Sunday-01,70061
6512498-CT-17OCT-Caltrain-Sunday-01,70051
6512498-CT-17OCT-Caltrain-Sunday-01,70041
6512498-CT-17OCT-Caltrain-Sunday-01,70031
6512498-CT-17OCT-Caltrain-Sunday-01,70021
6512498-CT-17OCT-Caltrain-Sunday-01,70011
6512499-CT-17OCT-Caltrain-Sunday-01,70261
6512499-CT-17OCT-Caltrain-Sunday-01,70241
6512499-CT-17OCT-Caltrain-Sunday-01,70231
6512499-CT-17OCT-Caltrain-Sunday-01,70221
6512499-CT-17OCT-Caltrain-Sunday-01,70211
6512499-CT-17OCT-Caltrain-Sunday-01,70201
6512499-CT-17OCT-Caltrain-Sunday-01,70191
6512499-CT-17OCT-Caltrain-Sunday-01,70171
6512499-CT-17OCT-Caltrain-Sunday-01,70161
6512499-CT-17OCT-Caltrain-Sunday-01,70151
6512499-CT-17OCT-Caltrain-Sunday-01,70141
6512499-CT-17OCT-Caltrain-Sunday-01,70131
6512499-CT-17OCT-Caltrain-Sunday-01,70121
6512499-CT-17OCT-Caltrain-Sunday-01,70111
6512499-CT-17OCT-Caltrain-Sunday-01,70101
6512499-CT-17OCT-Caltrain-Sunday-01,70091
6512499-CT-17OCT-Caltrain-Sunday-01,70081
6512499-CT-17OCT-Caltrain-Sunday-01,70071
6512499-CT-17OCT-Caltrain-Sunday-01,70061
6512499-CT-17OCT-Caltrain-Sunday-01,70051
6512499-CT-17OCT-Caltrain-Sunday-01,70041
